id,id_client,id_product,qtd,total,sale_date,product_id,usd_price,start_date,sale_date_norm,cotacao_brl,custo_total_brl,prejuizo,tem_prejuizo
4294,7,44,5,51332.3,2023-01-01,44,1963.02,2022-01-17,2023-01-01,5.2177,51212.24727,-120.05,False
8211,14,67,3,257367.0,2023-01-01,67,16720.73,2022-06-17,2023-01-01,5.2177,261731.25876299996,4364.26,True
4997,23,133,1,1893.0,2023-01-01,133,348.47,2022-07-06,2023-01-01,5.2177,1818.211919,-74.79,False
3131,28,130,13,53873.0,2023-01-01,130,749.89,2021-03-22,2023-01-01,5.2177,50865.113689,-3007.89,False
1230,17,91,4,512566.8,2023-01-01,91,26303.31,2022-03-16,2023-01-01,5.2177,548971.1223480001,36404.32,True
3549,10,53,13,662886.25,2023-01-01,53,9958.63,2022-07-19,2023-01-01,5.2177,675494.868763,12608.62,True
666,14,15,5,132524.05,2023-01-01,15,5325.4,2022-12-06,2023-01-01,5.2177,138931.69789999997,6407.65,True
2300,30,95,9,596858.4,2023-01-01,95,12945.63,2022-11-23,2023-01-01,5.2177,607917.722859,11059.32,True
4212,9,96,6,402538.75,2023-01-01,96,13063.42,2022-09-30,2023-01-01,5.2177,408966.03920400003,6427.29,True
7765,30,22,2,74960.7,2023-01-01,22,7630.67,2022-08-22,2023-01-01,5.2177,79629.093718,4668.39,True
5256,19,78,12,1461139.0,2023-01-01,78,23053.04,2022-10-14,2023-01-01,5.2177,1443406.161696,-17732.84,False
1238,42,149,4,4654.0,2023-01-02,149,217.62,2022-07-11,2023-01-02,5.3436,4651.4969280000005,-2.5,False
6459,3,91,8,1079088.0,2023-01-02,91,26303.31,2022-03-16,2023-01-02,5.3436,1124434.9385280001,45346.94,True
663,39,147,9,25907.45,2023-01-02,147,592.19,2022-08-25,2023-01-02,5.3436,28479.838356000004,2572.39,True
3793,22,4,2,6425.8,2023-01-02,4,654.31,2022-09-21,2023-01-02,5.3436,6992.741832,566.94,True
9562,2,18,7,186007.0,2023-01-02,18,4834.43,2022-01-25,2023-01-02,5.3436,180832.82103600004,-5174.18,False
7082,41,140,6,17866.65,2023-01-02,140,586.81,2021-02-03,2023-01-02,5.3436,18814.067496,947.42,True
2171,24,117,6,23387.1,2023-01-02,117,823.4,2022-06-10,2023-01-02,5.3436,26399.521440000004,3012.42,True
9161,26,145,14,60898.0,2023-01-02,145,820.56,2022-10-13,2023-01-02,5.3436,61386.42182399999,488.42,True
5121,27,61,11,308205.0,2023-01-02,61,5564.33,2022-11-04,2023-01-02,5.3436,327069.09166800004,18864.09,True
7479,14,145,4,17399.0,2023-01-02,145,820.56,2022-10-13,2023-01-02,5.3436,17538.977664,139.98,True
7777,26,25,11,126721.45,2023-01-02,25,2389.36,2022-03-04,2023-01-02,5.3436,140445.62505600002,13724.18,True
2513,8,82,3,147156.9,2023-01-02,82,9770.29,2020-09-11,2023-01-02,5.3436,156625.564932,9468.66,True
3525,32,133,6,11356.0,2023-01-02,133,348.47,2022-07-06,2023-01-02,5.3436,11172.505752000001,-183.49,False
2920,19,50,2,21424.4,2023-01-02,50,2179.61,2020-12-23,2023-01-02,5.3436,23293.927992000004,1869.53,True
5239,21,48,14,206309.0,2023-01-02,48,2836.04,2020-12-31,2023-01-02,5.3436,212165.286816,5856.29,True
2476,25,126,10,25432.45,2023-01-02,126,467.05,2020-10-28,2023-01-02,5.3436,24957.2838,-475.17,False
1083,10,119,3,9278.65,2023-01-02,119,625.1,2022-12-08,2023-01-02,5.3436,10020.85308,742.2,True
4150,3,33,1,6716.0,2023-01-02,33,1268.8,2020-09-10,2023-01-02,5.3436,6779.95968,63.96,True
6552,30,46,12,59805.0,2023-01-02,46,959.01,2022-12-02,2023-01-02,5.3436,61494.790032000004,1689.79,True
7899,41,78,7,809714.45,2023-01-02,78,23053.04,2022-10-14,2023-01-02,5.3436,862303.5718080001,52589.12,True
4034,5,86,8,710775.75,2023-01-02,86,17824.79,2021-08-13,2023-01-02,5.3436,761988.3827520001,51212.63,True
5896,35,131,8,7709.0,2023-01-03,131,185.47,2022-08-19,2023-01-03,5.3759,7976.545383999999,267.55,True
8378,21,36,15,339021.0,2023-01-03,36,4221.25,2022-09-26,2023-01-03,5.3759,340395.26812499994,1374.27,True
8172,46,72,12,1136177.2,2023-01-03,72,30675.48,2018-03-09,2023-01-03,5.3759,1978899.755184,842722.56,True
4010,16,63,13,1728477.5,2023-01-03,63,27618.14,2021-07-29,2023-01-03,5.3759,1930140.6647379997,201663.16,True
5775,16,39,8,237063.0,2023-01-03,39,5270.87,2020-10-16,2023-01-03,5.3759,226685.360264,-10377.64,False
6966,28,74,15,1298378.0,2023-01-03,74,22250.99,2018-12-19,2023-01-03,5.3759,1794286.457115,495908.46,True
488,33,30,1,32248.0,2023-01-03,30,5636.75,2020-05-19,2023-01-03,5.3759,30302.604324999997,-1945.4,False
3291,13,74,10,865586.0,2023-01-03,74,22250.99,2018-12-19,2023-01-03,5.3759,1196190.97141,330604.97,True
1767,11,1,1,33123.0,2023-01-03,1,6538.2,2022-05-16,2023-01-03,5.3759,35148.70938,2025.71,True
3510,24,123,8,22217.0,2023-01-03,123,535.37,2022-09-02,2023-01-03,5.3759,23024.764664,807.76,True
9975,16,8,15,71023.9,2023-01-03,8,951.1,2021-08-06,2023-01-03,5.3759,76695.27734999999,5671.38,True
2622,27,116,11,26914.45,2023-01-03,116,502.24,2022-03-16,2023-01-03,5.3759,29699.912175999998,2785.46,True
6561,17,131,2,1927.0,2023-01-03,131,185.47,2022-08-19,2023-01-03,5.3759,1994.1363459999998,67.14,True
7226,24,26,1,17283.0,2023-01-03,26,3412.88,2022-03-14,2023-01-03,5.3759,18347.301592,1064.3,True
3713,1,119,1,3256.0,2023-01-03,119,625.1,2022-12-08,2023-01-03,5.3759,3360.47509,104.48,True
2017,45,92,1,88854.0,2023-01-04,92,16745.97,2022-12-12,2023-01-04,5.4459,91196.87802300001,2342.88,True
8343,14,20,8,234334.6,2023-01-04,20,5689.04,2021-10-04,2023-01-04,5.4459,247855.543488,13520.94,True
8335,38,53,5,254956.25,2023-01-04,53,10045.86,2023-01-02,2023-01-04,5.4459,273543.74487,18587.49,True
1384,21,57,11,1306696.0,2023-01-04,57,22497.79,2022-12-16,2023-01-04,5.4459,1347727.860171,41031.86,True
2902,14,116,2,5151.0,2023-01-04,116,502.24,2022-03-16,2023-01-04,5.4459,5470.297632,319.3,True
9269,1,108,3,10037.0,2023-01-04,108,653.47,2022-06-14,2023-01-04,5.4459,10676.196819,639.2,True
8571,44,62,8,776887.2,2023-01-04,62,19016.98,2023-01-03,2023-01-04,5.4459,828516.571056,51629.37,True
7852,5,18,2,50487.75,2023-01-04,18,4834.43,2022-01-25,2023-01-04,5.4459,52655.644674,2167.89,True
1909,26,71,14,1731315.15,2023-01-04,71,24528.75,2022-11-29,2023-01-04,5.4459,1870135.6747499998,138820.52,True
6768,1,11,4,144928.0,2023-01-04,11,6733.8,2022-01-27,2023-01-04,5.4459,146686.40568,1758.41,True
3342,48,41,13,137800.0,2023-01-04,41,1886.32,2020-10-08,2023-01-04,5.4459,133545.231144,-4254.77,False
7677,11,61,13,364242.0,2023-01-04,61,5564.33,2022-11-04,2023-01-04,5.4459,393936.20171099994,29694.2,True
5791,20,14,14,476287.25,2023-01-04,14,6841.36,2021-08-12,2023-01-04,5.4459,521603.073936,45315.82,True
5938,37,81,11,1276451.35,2023-01-04,81,23345.09,2022-08-02,2023-01-04,5.4459,1398485.281941,122033.93,True
1098,6,27,5,78429.15,2023-01-05,27,3051.23,2022-07-12,2023-01-05,5.4026,82422.87599,3993.73,True
5245,48,145,13,53720.6,2023-01-05,145,820.56,2022-10-13,2023-01-05,5.4026,57631.04692799999,3910.45,True
4478,32,46,6,29903.0,2023-01-05,46,959.01,2022-12-02,2023-01-05,5.4026,31086.884555999997,1183.88,True
84,25,35,1,10455.7,2023-01-05,35,2199.13,2022-05-05,2023-01-05,5.4026,11881.019737999999,1425.32,True
9786,8,50,14,149970.8,2023-01-05,50,2179.61,2020-12-23,2023-01-05,5.4026,164857.853804,14887.05,True
4929,8,73,11,1496021.05,2023-01-05,73,27407.95,2021-07-12,2023-01-05,5.4026,1628816.0973699999,132795.05,True
8334,28,40,3,42552.0,2023-01-05,40,2757.45,2022-12-23,2023-01-05,5.4026,44692.19810999999,2140.2,True
2749,25,135,5,8223.0,2023-01-05,135,312.86,2022-10-31,2023-01-05,5.4026,8451.28718,228.29,True
2113,6,121,11,40637.0,2023-01-05,121,718.35,2021-08-31,2023-01-05,5.4026,42690.53481,2053.53,True
9792,41,12,8,21809.0,2023-01-05,12,527.97,2022-06-20,2023-01-05,5.4026,22819.285776,1010.29,True
6572,24,66,3,35829.25,2023-01-05,66,2360.29,2021-01-05,2023-01-05,5.4026,38255.108261999994,2425.86,True
8776,6,145,9,39149.0,2023-01-05,145,820.56,2022-10-13,2023-01-05,5.4026,39898.41710399999,749.42,True
4226,45,49,7,92850.0,2023-01-05,49,2627.0,2021-06-07,2023-01-05,5.4026,99348.4114,6498.41,True
8344,26,143,2,8873.0,2023-01-06,143,845.69,2021-08-25,2023-01-06,5.2855,8939.788990000001,66.79,True
6427,16,59,3,261498.0,2023-01-06,59,16694.98,2021-08-10,2023-01-06,5.2855,264723.95037,3225.95,True
2729,45,105,10,3095.0,2023-01-06,105,59.15,2022-06-24,2023-01-06,5.2855,3126.3732499999996,31.37,True
4488,36,126,7,17802.05,2023-01-06,126,467.05,2020-10-28,2023-01-06,5.2855,17280.149425,-521.9,False
8331,27,71,4,494661.2,2023-01-06,71,24528.75,2022-11-29,2023-01-06,5.2855,518586.83249999996,23925.63,True
91,23,36,15,339021.0,2023-01-06,36,4221.25,2022-09-26,2023-01-06,5.2855,334671.253125,-4349.75,False
8097,34,128,5,23254.0,2023-01-06,128,853.09,2022-07-22,2023-01-06,5.2855,22545.035975,-708.96,False
9377,16,18,9,227194.4,2023-01-06,18,4834.43,2022-01-25,2023-01-06,5.2855,229971.417885,2777.02,True
1708,11,19,4,62442.55,2023-01-06,19,3163.35,2021-08-30,2023-01-06,5.2855,66879.5457,4437.0,True
9129,42,32,10,118773.75,2023-01-07,32,2585.66,2022-05-25,2023-01-07,5.2855,136665.0593,17891.31,True
246,28,137,14,47397.0,2023-01-07,137,619.79,2020-06-26,2023-01-07,5.2855,45862.60063,-1534.4,False
7415,5,138,4,16732.0,2023-01-07,138,826.61,2022-02-22,2023-01-07,5.2855,17476.18862,744.19,True
2141,10,91,3,384425.1,2023-01-07,91,26303.31,2022-03-16,2023-01-07,5.2855,417078.435015,32653.34,True
945,2,80,12,1473151.7,2023-01-07,80,24177.04,2022-10-28,2023-01-07,5.2855,1533452.93904,60301.24,True
4730,13,35,8,83641.8,2023-01-07,35,2199.13,2022-05-05,2023-01-07,5.2855,92988.01292000001,9346.21,True
5434,10,18,4,100975.5,2023-01-07,18,4834.43,2022-01-25,2023-01-07,5.2855,102209.51906,1234.02,True
9555,17,110,6,14973.0,2023-01-07,110,476.03,2021-08-26,2023-01-07,5.2855,15096.33939,123.34,True
2600,25,137,14,47397.0,2023-01-07,137,619.79,2020-06-26,2023-01-07,5.2855,45862.60063,-1534.4,False
3620,6,6,9,106382.0,2023-01-07,6,2104.66,2021-12-01,2023-01-07,5.2855,100117.62386999998,-6264.38,False
147,24,129,1,3102.7,2023-01-07,129,598.62,2022-07-14,2023-01-07,5.2855,3164.00601,61.31,True
6718,23,95,3,209424.0,2023-01-07,95,12945.63,2022-11-23,2023-01-07,5.2855,205272.38209499998,-4151.62,False
2016,29,27,4,62743.7,2023-01-07,27,3051.23,2022-07-12,2023-01-07,5.2855,64509.10466,1765.4,True
5131,2,19,8,124886.05,2023-01-08,19,3163.35,2021-08-30,2023-01-08,5.2855,133759.0914,8873.04,True
236,33,113,10,41752.5,2023-01-08,113,815.5,2022-07-05,2023-01-08,5.2855,43103.2525,1350.75,True
1728,29,46,14,66284.35,2023-01-08,46,959.01,2022-12-02,2023-01-08,5.2855,70963.86297,4679.51,True
1839,10,114,13,9871.45,2023-01-08,114,144.69,2022-01-13,2023-01-08,5.2855,9941.866934999998,70.42,True
3350,8,120,11,34369.0,2023-01-08,120,586.85,2022-10-26,2023-01-08,5.2855,34119.752425,-249.25,False
